postal_code,Number of Children in Each Neighbor,Children Score,Number of Single Parents,Single Parents Score,Value of After-tax Income,After-tax Income Score,Number of Bachlors Degreess,Education Score,Number of Movers,Movers Score,Total Score
M6R,4960,26,665,20,46400,79,9135,45,2610,38,52
M6C,6840,42,1070,35,40800,64,10060,54,2150,27,52
M6E,11020,71,2390,78,34000,39,8710,44,3905,64,50
M1K,16450,90,3510,91,31000,13,10665,59,4050,66,50
M8Y,5870,32,1000,30,42800,71,8435,42,2350,32,49
M1L,12145,78,2035,70,32000,28,9660,50,3385,58,48
M9W,13995,85,2915,86,32400,31,8315,41,3165,54,48
M9V,20320,95,3925,94,29400,6,9715,52,4480,73,47
M1V,16525,91,3015,88,27400,2,10700,60,4325,67,46
M9R,11970,76,2390,78,33600,37,7610,37,2860,43,46
M8Z,5385,28,820,28,45200,77,6870,30,1865,22,45
M5N,5350,27,595,16,44400,74,7380,36,1650,17,45
M6B,9135,60,1525,52,35200,43,8685,43,2400,33,45
M5S,1985,7,445,10,38400,51,9500,47,4880,79,44
M5B,1845,6,540,15,35200,43,9925,53,5775,83,44
M6N,12750,82,2905,84,32000,28,7190,34,3080,51,43
M8X,2880,13,355,7,56800,96,5475,18,1030,5,43
M4T,2370,9,315,4,56400,94,5880,20,1230,11,43
M4R,3365,15,410,9,49600,84,6335,24,1685,18,42
M1S,11025,72,2075,71,29400,6,10320,55,4035,65,42
M8W,6310,37,1210,40,40800,64,6660,26,2290,30,42
M1N,6680,39,1220,41,39200,58,6805,29,2190,28,41
M1T,10835,70,2230,75,29800,10,9635,49,3330,57,41
M1J,13905,84,2935,87,31200,15,7690,38,2885,45,40
M2H,6950,43,1385,46,32000,28,9520,48,2350,32,39
M3B,4095,19,520,13,44800,75,6135,21,1210,9,38
M1R,10170,66,1890,64,32000,28,7100,32,2585,37,38
M6M,14670,87,3840,93,31800,22,5825,19,3105,52,37
M1M,7710,51,1285,42,34000,39,6700,27,2210,29,36
M5G,1315,4,325,5,40000,60,6220,22,3490,59,35
M6A,7430,47,1710,59,33600,37,6430,25,2450,35,35
M2L,3855,17,615,17,41600,67,5250,17,1045,6,33
M5H,280,1,45,1,52000,87,2270,4,1380,13,33
M9P,6760,41,1460,49,37600,49,5210,16,1495,16,33
M1H,7600,48,1440,48,31800,22,6895,31,2835,42,32
M2P,2370,9,335,6,44400,74,3810,9,860,4,31
M9N,8515,56,2120,73,33200,35,4015,12,1870,23,31
M5C,355,2,95,2,51600,85,1770,1,730,3,31
M1G,11120,73,1955,65,29200,4,6770,28,2930,47,30
M9M,8985,59,1990,67,32000,28,4210,13,1895,24,29
M4B,5795,31,1185,38,35200,43,4395,15,1720,20,29
M3M,8345,54,2035,70,32400,31,3975,11,1805,21,28
M3J,7940,52,1890,64,30600,12,6315,23,3075,50,28
M4X,4585,23,1035,32,31600,19,7175,33,2735,40,27
M3N,16410,89,4520,95,28400,3,3855,10,2620,39,27
M5T,2780,11,800,27,29800,10,7275,35,3700,60,25
M6L,7100,44,1705,57,31800,22,3120,6,1220,10,20
M4A,4535,22,1040,33,32400,31,3545,8,1305,12,20
M3K,2490,10,540,15,35600,44,1965,3,1140,8,20
M1X,5985,35,650,19,32000,28,3145,7,720,2,19
M3L,7175,46,1760,60,30600,12,2380,5,1425,15,17
M4H,7705,50,740,24,27000,1,4280,14,1400,14,15
M9L,4235,20,780,26,29600,8,1960,2,1055,7,9
