,postal_code,data,Number of bachlors degreess,Education Score
38,M4G,2021A0011M4G - Bachelor's degree or higher - Counts - Total,9715,52
94,M9V,2021A0011M9V - Bachelor's degree or higher - Counts - Total,9715,52
7,M1L,2021A0011M1L - Bachelor's degree or higher - Counts - Total,9660,50
13,M1T,2021A0011M1T - Bachelor's degree or higher - Counts - Total,9635,49
17,M2H,2021A0011M2H - Bachelor's degree or higher - Counts - Total,9520,48
64,M5S,2021A0011M5S - Bachelor's degree or higher - Counts - Total,9500,47
50,M4W,2021A0011M4W - Bachelor's degree or higher - Counts - Total,9360,46
79,M6R,2021A0011M6R - Bachelor's degree or higher - Counts - Total,9135,45
70,M6E,2021A0011M6E - Bachelor's degree or higher - Counts - Total,8710,44
68,M6B,2021A0011M6B - Bachelor's degree or higher - Counts - Total,8685,43
84,M8Y,2021A0011M8Y - Bachelor's degree or higher - Counts - Total,8435,42
95,M9W,2021A0011M9W - Bachelor's degree or higher - Counts - Total,8315,41
44,M4N,2021A0011M4N - Bachelor's degree or higher - Counts - Total,8035,40
56,M5E,2021A0011M5E - Bachelor's degree or higher - Counts - Total,8005,39
5,M1J,2021A0011M1J - Bachelor's degree or higher - Counts - Total,7690,38
93,M9R,2021A0011M9R - Bachelor's degree or higher - Counts - Total,7610,37
61,M5N,2021A0011M5N - Bachelor's degree or higher - Counts - Total,7380,36
65,M5T,2021A0011M5T - Bachelor's degree or higher - Counts - Total,7275,35
77,M6N,2021A0011M6N - Bachelor's degree or higher - Counts - Total,7190,34
51,M4X,2021A0011M4X - Bachelor's degree or higher - Counts - Total,7175,33
11,M1R,2021A0011M1R - Bachelor's degree or higher - Counts - Total,7100,32
4,M1H,2021A0011M1H - Bachelor's degree or higher - Counts - Total,6895,31
85,M8Z,2021A0011M8Z - Bachelor's degree or higher - Counts - Total,6870,30
9,M1N,2021A0011M1N - Bachelor's degree or higher - Counts - Total,6805,29
3,M1G,2021A0011M1G - Bachelor's degree or higher - Counts - Total,6770,28
8,M1M,2021A0011M1M - Bachelor's degree or higher - Counts - Total,6700,27
82,M8W,2021A0011M8W - Bachelor's degree or higher - Counts - Total,6660,26
67,M6A,2021A0011M6A - Bachelor's degree or higher - Counts - Total,6430,25
46,M4R,2021A0011M4R - Bachelor's degree or higher - Counts - Total,6335,24
29,M3J,2021A0011M3J - Bachelor's degree or higher - Counts - Total,6315,23
57,M5G,2021A0011M5G - Bachelor's degree or higher - Counts - Total,6220,22
26,M3B,2021A0011M3B - Bachelor's degree or higher - Counts - Total,6135,21
48,M4T,2021A0011M4T - Bachelor's degree or higher - Counts - Total,5880,20
76,M6M,2021A0011M6M - Bachelor's degree or higher - Counts - Total,5825,19
83,M8X,2021A0011M8X - Bachelor's degree or higher - Counts - Total,5475,18
20,M2L,2021A0011M2L - Bachelor's degree or higher - Counts - Total,5250,17
92,M9P,2021A0011M9P - Bachelor's degree or higher - Counts - Total,5210,16
35,M4B,2021A0011M4B - Bachelor's degree or higher - Counts - Total,4395,15
39,M4H,2021A0011M4H - Bachelor's degree or higher - Counts - Total,4280,14
90,M9M,2021A0011M9M - Bachelor's degree or higher - Counts - Total,4210,13
91,M9N,2021A0011M9N - Bachelor's degree or higher - Counts - Total,4015,12
32,M3M,2021A0011M3M - Bachelor's degree or higher - Counts - Total,3975,11
33,M3N,2021A0011M3N - Bachelor's degree or higher - Counts - Total,3855,10
23,M2P,2021A0011M2P - Bachelor's degree or higher - Counts - Total,3810,9
34,M4A,2021A0011M4A - Bachelor's degree or higher - Counts - Total,3545,8
16,M1X,2021A0011M1X - Bachelor's degree or higher - Counts - Total,3145,7
75,M6L,2021A0011M6L - Bachelor's degree or higher - Counts - Total,3120,6
31,M3L,2021A0011M3L - Bachelor's degree or higher - Counts - Total,2380,5
58,M5H,2021A0011M5H - Bachelor's degree or higher - Counts - Total,2270,4
30,M3K,2021A0011M3K - Bachelor's degree or higher - Counts - Total,1965,3
89,M9L,2021A0011M9L - Bachelor's degree or higher - Counts - Total,1960,2
55,M5C,2021A0011M5C - Bachelor's degree or higher - Counts - Total,1770,1
