,postal_code,data,value,Score
4,M1H,2021A0011M1H - Non-movers - Counts - Total,20625.0,41
43,M4M,2021A0011M4M - Non-movers - Counts - Total,20615.0,40
9,M1N,2021A0011M1N - Non-movers - Counts - Total,20090.0,39
65,M5R,2021A0011M5R - Non-movers - Counts - Total,20080.0,38
19,M2K,2021A0011M2K - Non-movers - Counts - Total,19930.0,37
89,M8W,2021A0011M8W - Non-movers - Counts - Total,19805.0,36
71,M6A,2021A0011M6A - Non-movers - Counts - Total,19415.0,35
91,M8Y,2021A0011M8Y - Non-movers - Counts - Total,19250.0,34
45,M4P,2021A0011M4P - Non-movers - Counts - Total,18420.0,33
79,M6L,2021A0011M6L - Non-movers - Counts - Total,18400.0,32
99,M9P,2021A0011M9P - Non-movers - Counts - Total,18400.0,32
31,M3L,2021A0011M3L - Non-movers - Counts - Total,17730.0,31
38,M4G,2021A0011M4G - Non-movers - Counts - Total,17440.0,30
64,M5P,2021A0011M5P - Non-movers - Counts - Total,17140.0,29
51,M4X,2021A0011M4X - Non-movers - Counts - Total,16960.0,28
39,M4H,2021A0011M4H - Non-movers - Counts - Total,16785.0,27
35,M4B,2021A0011M4B - Non-movers - Counts - Total,16455.0,26
83,M6R,2021A0011M6R - Non-movers - Counts - Total,16365.0,25
92,M8Z,2021A0011M8Z - Non-movers - Counts - Total,16305.0,24
49,M4V,2021A0011M4V - Non-movers - Counts - Total,15910.0,23
63,M5N,2021A0011M5N - Non-movers - Counts - Total,14285.0,22
16,M1X,2021A0011M1X - Non-movers - Counts - Total,13930.0,21
67,M5T,2021A0011M5T - Non-movers - Counts - Total,13730.0,20
44,M4N,2021A0011M4N - Non-movers - Counts - Total,13200.0,19
34,M4A,2021A0011M4A - Non-movers - Counts - Total,12875.0,18
50,M4W,2021A0011M4W - Non-movers - Counts - Total,12025.0,17
26,M3B,2021A0011M3B - Non-movers - Counts - Total,11485.0,16
54,M5B,2021A0011M5B - Non-movers - Counts - Total,11185.0,15
59,M5J,2021A0011M5J - Non-movers - Counts - Total,11065.0,14
61,M5L,2021A0011M5J - Non-movers - Counts - Total,11065.0,14
60,M5K,2021A0011M5J - Non-movers - Counts - Total,11065.0,14
66,M5S,2021A0011M5S - Non-movers - Counts - Total,10640.0,13
96,M9L,2021A0011M9L - Non-movers - Counts - Total,10520.0,12
46,M4R,2021A0011M4R - Non-movers - Counts - Total,10215.0,11
20,M2L,2021A0011M2L - Non-movers - Counts - Total,10050.0,10
90,M8X,2021A0011M8X - Non-movers - Counts - Total,9360.0,9
48,M4T,2021A0011M4T - Non-movers - Counts - Total,8905.0,8
56,M5E,2021A0011M5E - Non-movers - Counts - Total,7975.0,7
23,M2P,2021A0011M2P - Non-movers - Counts - Total,6670.0,6
