,postal_code,data,value
60,M5K,2021A0011M5J - Bachelor's degree or higher - Counts - Total,11410.0
59,M5J,2021A0011M5J - Bachelor's degree or higher - Counts - Total,11410.0
61,M5L,2021A0011M5J - Bachelor's degree or higher - Counts - Total,11410.0
37,M4E,2021A0011M4E - Bachelor's degree or higher - Counts - Total,11150.0
1,M1C,2021A0011M1C - Bachelor's degree or higher - Counts - Total,11150.0
2,M1E,2021A0011M1E - Bachelor's degree or higher - Counts - Total,11120.0
49,M4V,2021A0011M4V - Bachelor's degree or higher - Counts - Total,10760.0
14,M1V,2021A0011M1V - Bachelor's degree or higher - Counts - Total,10700.0
6,M1K,2021A0011M1K - Bachelor's degree or higher - Counts - Total,10665.0
64,M5P,2021A0011M5P - Bachelor's degree or higher - Counts - Total,10595.0
25,M3A,2021A0011M3A - Bachelor's degree or higher - Counts - Total,10585.0
43,M4M,2021A0011M4M - Bachelor's degree or higher - Counts - Total,10395.0
12,M1S,2021A0011M1S - Bachelor's degree or higher - Counts - Total,10320.0
73,M6C,2021A0011M6C - Bachelor's degree or higher - Counts - Total,10060.0
54,M5B,2021A0011M5B - Bachelor's degree or higher - Counts - Total,9925.0
101,M9V,2021A0011M9V - Bachelor's degree or higher - Counts - Total,9715.0
38,M4G,2021A0011M4G - Bachelor's degree or higher - Counts - Total,9715.0
7,M1L,2021A0011M1L - Bachelor's degree or higher - Counts - Total,9660.0
13,M1T,2021A0011M1T - Bachelor's degree or higher - Counts - Total,9635.0
17,M2H,2021A0011M2H - Bachelor's degree or higher - Counts - Total,9520.0
66,M5S,2021A0011M5S - Bachelor's degree or higher - Counts - Total,9500.0
50,M4W,2021A0011M4W - Bachelor's degree or higher - Counts - Total,9360.0
83,M6R,2021A0011M6R - Bachelor's degree or higher - Counts - Total,9135.0
74,M6E,2021A0011M6E - Bachelor's degree or higher - Counts - Total,8710.0
72,M6B,2021A0011M6B - Bachelor's degree or higher - Counts - Total,8685.0
91,M8Y,2021A0011M8Y - Bachelor's degree or higher - Counts - Total,8435.0
102,M9W,2021A0011M9W - Bachelor's degree or higher - Counts - Total,8315.0
44,M4N,2021A0011M4N - Bachelor's degree or higher - Counts - Total,8035.0
56,M5E,2021A0011M5E - Bachelor's degree or higher - Counts - Total,8005.0
5,M1J,2021A0011M1J - Bachelor's degree or higher - Counts - Total,7690.0
100,M9R,2021A0011M9R - Bachelor's degree or higher - Counts - Total,7610.0
63,M5N,2021A0011M5N - Bachelor's degree or higher - Counts - Total,7380.0
67,M5T,2021A0011M5T - Bachelor's degree or higher - Counts - Total,7275.0
81,M6N,2021A0011M6N - Bachelor's degree or higher - Counts - Total,7190.0
51,M4X,2021A0011M4X - Bachelor's degree or higher - Counts - Total,7175.0
11,M1R,2021A0011M1R - Bachelor's degree or higher - Counts - Total,7100.0
4,M1H,2021A0011M1H - Bachelor's degree or higher - Counts - Total,6895.0
92,M8Z,2021A0011M8Z - Bachelor's degree or higher - Counts - Total,6870.0
9,M1N,2021A0011M1N - Bachelor's degree or higher - Counts - Total,6805.0
3,M1G,2021A0011M1G - Bachelor's degree or higher - Counts - Total,6770.0
8,M1M,2021A0011M1M - Bachelor's degree or higher - Counts - Total,6700.0
89,M8W,2021A0011M8W - Bachelor's degree or higher - Counts - Total,6660.0
71,M6A,2021A0011M6A - Bachelor's degree or higher - Counts - Total,6430.0
46,M4R,2021A0011M4R - Bachelor's degree or higher - Counts - Total,6335.0
29,M3J,2021A0011M3J - Bachelor's degree or higher - Counts - Total,6315.0
57,M5G,2021A0011M5G - Bachelor's degree or higher - Counts - Total,6220.0
26,M3B,2021A0011M3B - Bachelor's degree or higher - Counts - Total,6135.0
48,M4T,2021A0011M4T - Bachelor's degree or higher - Counts - Total,5880.0
